Baxazole-D    (Baxter )
2-Benz    (Pharmawise)
2-Lar    (Imco)
2-Mether    (Imco)
25% Dextrose Injection    (Otsuka)
2A Infron Alpha    (R.Y)
2Sum    (Sami)
3-Zone    (Zeb)
5-Fu    (Highnoon)
7.45% Kcl    (Usmanco)
80056    (Ibl)
A-Bone    (Evergreen)
A-Care    (Caraway)
A-Chole    (Alied)
A-Cip    (Allmrd)
A-Claro    (Alied)
A-Dine    (Linear)
A-Fantrine    (Atco)
A-Fantrine Bd    (Atco)
A-Fenac Plus    (Acme)
A-Flox    (Laderly Bio-Tech Pharma)
A-Glc    (Cherwel)
A-Glim    (Linear)
A-Mal    (Leads)
A-Mether    (Rasco)
A-Mox    (Atco)
A-Pnamic    (Pulse)
A-Rox    (Rasco)
A-Sec    (Saydon)
A-Sone    (Navegal)
A-Tin    (Heal)
A-Vast    (Wise)
A-Vid    (Alliance)
A.T.S    (Hakimsons)
A2A    (Wilsons)
Aafia    (Maple)
Aaram    (Bosch)
Abac    (Rakaposhi)
Abaglin    (Polyfine)
Abaktal    (Novartis)
Abapen    (Bosch)
Abbocin    (Abbott)
Abbowax    (Abbott)
Abbutol    (Abbott)
Abclor    (Alliance)
Abdec    (Pfizer)
Abdopril    (Innvotek)
Abenol    (Medisure)
Abenol Plus    (Popular)
Abgenix    (Medisure)
Abhayrab    (Cirin)
Abidacam    (Z-Jans)
Abidine    (Alliance)
Abidox    (Alliance)
Abifix    (Alliance)
Abirex    (Alliance)
Abnil    (Agp)
Abocain    (Abbott)
Abocain Spinal Injection    (Abbott)
Abocal    (Abbott)
Abodine    (Abbott)
Abolitium    (Pulse)
Abolon    (Lcpw)
Abomox    (Abbott)
Abozole    (Abbott)
Abrifam    (Abbott)
Abrotin    (Gray'S)
Absolute    (Xenon)
Abxicam    (Innvotek)
Ac-On    (Qintar)
Acabel    (S.J.& G)
Acabose    (Raazee)
Acasia    (Nexpharm)
Accent    (Macter)
Accion    (Envoy)
Accolate    (Ici)
Accred    (Albro)
Acctane    (Atco)
Accunate    (Ocean)
Accupril    (Pfizer)
Accure    (Dermagen)
Accutane    (Aims)
Acdermin    (Atco)
Ace    (Pharmako)
Ace-Bex    (Schazoo)
Ace-Bex-P    (Schazoo)
Aceartin-50    (Epla)
Aceclo    (Alied)
Acecol    (Pharmedic)
Acedonil    (Global)
Acef    (English)
Acefas    (Fassgen)
Acefen    (Semos)
Acefer    (Saffron)
Acefer-F    (Saffron)
Acefin    (Hamaz)
Acefin Plus    (Hamaz)
Acefyl    (Nabiqasim)
Acefyl Cough    (Nabiqasim)
Acefyl Sugar Free    (Nabiqasim)
Acefyl Sugar Free Cough    (Nabiqasim)
Acelak       (Linear)
Acelar    (Pharmevo)
Acelish    (Platinum)
Acelluvax    (Amson)
Acelo    (Maple)
Acelonac-Sr    (Maple)
Acelyne    (Paramount)
Acemed    (Novartis)
Acemox    (Vega)
Acenac    (S.J.& G)
Acenim    (Nimrall)
Acepol    (Hassan)
Acer      (Rotex)
Acertan-P    (Tg)
Aces    (Pharmako)
Aceta Inh    (Amson)
Acetin    (Genome)
Acetofen    (Shaigan)
Acetofin    (Epla)
Acetopril    (Zafa)
Acetor    (Neo)
Acetosol    (Shaigan)
Acetretin    (Fassgen)
Acetyl    (Shrooq)
Acezole    (Tg)
Acfin-P    (Swiss Pharma)
Acflox    (Woodward)
Achex    (Wise)
Achfer    (Medifine)
Aciadvan       (Advanced)
Aciclovir    (Haji)
Aciclovir    (R.Y)
Acicon    (Barrett)
Acid Off    (Unipharma)
Acid-Citro    (Delux)
Acidil    (Irza)
Acidran    (Valor)
Acidrin    (Zephyr)
Acidrol    (Medisearch)
Acifix    (Aries)
Acifre    (Noa Hemis)
Acifre D    (Noa Hemis)
Acigo    (Harmann)
Aciloc    (Medipak)
Acimef    (Trigon)
Acimet    (Bloom)
Aciphexa    (Medicraft)
Acireg    (Barrett)
Acisor    (Shrooq)
Acitec    (Panacea)
Acitra    (Rock)
Acitral    (Atlantic)
Acitrelex       (Ambrosia)
Acizol    (Cirin)
Aclasta    (Novartis)
Aclofen    (Alliance)
Aclor    (Miracle)
Aclova    (Akhai)
Acmex    (Acme)
Acne Aid    (Gsk)
Acne Aid Cream    (Gsk)
Acne Wash    (Derma Tech)
Acne-Ban    (Linear)
Acne-Lene    (Valor)
Acne-Pearl    (Pearl)
Acnederm    (Wilshire)
Acnedox    (Biogenics)
Acnegen    (Biogen)
Acnegon Bar    (Sante)
Acneklin    (Ipram)
Acnelene Plus    (Valor)
Acnelene Super    (Valor)
Acnemycin V    (Ambrosia)
Acnesafe    (Z-Jans)
Acnetrac    (Warafana)
Acnewin    (Wnsfeild)
Acney    (Saia)
Acney Bar    (Saia)
Acnicam    (Mendoza)
Acnil    (Platinum)
Acniphos    (Valor)
Acniphos-V    (Valor)
Acno    (Paramount)
Acnogen    (Rotex)
Acnoren    (Gillman)
Acnot    (Zafa)
Acnotin    (Nimrall)
Acnytret    (Lexicon)
Acnytret Plus    (Amarant)
Acoret    (Efroze)
Acoret-P    (Efroze)
Acort    (Platinum)
Acozine    (Kpl)
Acriflavin    (Pharmawise)
Acriflavine    (Sapient)
Acrivin    (Ipp)
Acrivine    (Epoch)
Acro    (S.J.& G)
Acron    (Asian)
Acron S    (Asian)
Acry    (Jaens)
Acsolve    (Atco)
Act-Hib    (Aventis)
Actacef    (Serene)
Actal    (Pharmatec)
Acthar Gel    (Agp)
Acti-5    (Agp)
Acti-Joint    (Acti-Med)
Acti-Tone    (Acti-Med)
Acticin    (Webrose)
Actidil    (Gsk)
Actif    (Webrose)
Actif-Viii    (Sms)
Actifed-Dm    (Gsk)
